"patients","totalPatients","deaths","totalDeaths","recovered","totalRecovered","totalIntubated","totalIntensiveCare","tests","totalTests","date","critical","pneumoniaPercent","cases"
"618","2524786","108","26685","8089","2412505","","","137649","30486691","06/02/2021","1337","%4,9","7897"
"623","2531456","112","26797","8201","2440706","","","129715","30616406","07/02/2021","1317","%4,9","6670"
"632","2539559","103","26900","8567","2429273","","","139378","30755784","08/02/2021","1310","%3,7","8103"
"659","2548195","98","26998","8109","2437382","","","137712","30893496","09/02/2021","1310","%3,7","8636"
"664","2556837","95","27093","7903","2445285","","","135867","31029363","10/02/2021","1308","%3,7","8642"
"660","2564427","94","27187","7811","2453096","","","130313","31159676","11/02/2021","1256","%3,7","7590"
"667","2572190","97","27284","8108","2461204","","","129630","31289306","12/02/2021","1250","%3,7","7763"
"671","2579896","93","27377","7215","2468419","","","123305","31412611","13/02/2021","1235","%3,7","7706"
"666","2586183","94","27471","6910","2475329","","","104108","31516719","14/02/2021","1230","%3,7","6287"
"660","2594128","91","27562","7106","2482435","","","116452","31633171","15/02/2021","1232","%3,6","7945"
"658","2602034","90","27652","7189","2489624","","","115794","31748965","16/02/2021","1201","%3,6","7906"
"649","2609359","86","27738","7209","2496833","","","117121","31866086","17/02/2021","1193","%3,6","7325"
"640","2616600","83","27821","7217","2504050","","","115406","31981492","18/02/2021","1187","%3,6","7241"
"638","2624019","82","27903","7498","2511548","","","116674","32098166","19/02/2021","1185","%3,6","7419"
"635","2631876","80","27983","7210","2518758","","","118911","32217077","20/02/2021","1180","%3,6","7857"
"601","2638422","77","28060","5002","2523760","","","101105","32318182","21/02/2021","1185","%3,6","6546"
"623","2646526","78","28138","5690","2529450","","","118816","32436998","22/02/2021","1189","%4,2","8104"
"633","2655633","75","28213","5546","2534996","","","123734","32560732","23/02/2021","1185","%4,2","9107"
"660","2665194","72","28285","5297","2540293","","","124015","32684747","24/02/2021","1200","%4,2","9561"
"658","2674766","73","28358","6210","2546503","","","126527","32811274","25/02/2021","1192","%4,2","9572"
"649","2683971","74","28432","10282","2556785","","","128387","32939661","26/02/2021","1195","%4,2","9205"
"621","2693164","71","28503","8938","2565723","","","125716","33065377","27/02/2021","1187","%4,2","9193"
"610","2701588","66","28569","6511","2572234","","","109639","33175016","28/02/2021","1191","%4,2","8424"
"645","2711479","69","28638","5947","2578181","","","130536","33305552","01/03/2021","1215","%3,6","9891"
"668","2723316","68","28706","7892","2586073","","","135291","33440843","02/03/2021","1227","%3,6","11837"
"689","2734836","65","28771","7191","2593264","","","138018","33578861","03/03/2021","1224","%3,6","11520"
"685","2746158","68","28839","7873","2601137","","","137885","33716746","04/03/2021","1220","%3,6","11322"
"698","2757460","62","28901","7711","2608848","","","138214","33854960","05/03/2021","1232","%3,6","11302"
"702","2769230","64","28965","7291","2616139","","","138592","33993552","06/03/2021","1230","%3,6","11770"
"735","2780417","65","29030","7785","2623924","","","129299","34122851","07/03/2021","1261","%3,6","11187"
"767","2793632","64","29094","8106","2632030","","","139429","34262280","08/03/2021","1239","%3,8","13215"
"801","2807387","66","29160","8639","2640669","","","140828","34403108","09/03/2021","1289","%3,8","13755"
"814","2821943","67","29227","9193","2649862","","","145130","34548238","10/03/2021","1309","%3,8","14556"
"821","2835989","63","29290","9231","2659093","","","146386","34694624","11/03/2021","1310","%3,8","14046"
"834","2850930","66","29356","11180","2670273","","","148856","34843480","12/03/2021","1349","%3,8","14941"
"841","2866012","65","29421","15287","2685560","","","150098","34993578","13/03/2021","1350","%3,8","15082"
"852","2879390","68","29489","15516","2701076","","","132425","35126003","14/03/2021","1392","%3,8","13378"
"858","2894893","63","29552","15893","2716969","","","151113","35277116","15/03/2021","1425","%3,2","15503"
"874","2911642","71","29623","17893","2734862","","","158386","35435502","16/03/2021","1474","%3,2","16749"
"869","2930554","73","29696","17161","2752023","","","167526","35603028","17/03/2021","1484","%3,2","18912"
"902","2950603","81","29777","18615","2770638","","","184452","35787480","18/03/2021","1503","%3,2","20049"
"934","2971633","87","29864","18119","2788757","","","187859","35975339","19/03/2021","1547","%3,2","21030"
"958","2992694","95","29959","18815","2807572","","","190129","36165468","20/03/2021","1538","%3,2","21061"
"965","3013122","102","30061","17615","2825187","","","189906","36355374","21/03/2021","1568","%3,2","20428"
"981","3035338","117","30178","19494","2844681","","","201215","36556589","22/03/2021","1644","%4,2","22216"
"1006","3061520","138","30316","19201","2863882","","","211848","36768437","23/03/2021","1710","%4,2","26182"
"1142","3091282","146","30462","17761","2881643","","","221738","36990175","24/03/2021","1720","%4,2","29762"
"1210","3120013","157","30619","19186","2900829","","","222753","37212928","25/03/2021","1790","%4,2","28731"
"1253","3149094","153","30772","20208","2921037","","","220985","37433913","26/03/2021","1810","%4,2","29081"
"1281","3179115","151","30923","18892","2939929","","","223214","37657127","27/03/2021","1886","%4,2","30021"
"1305","3208173","153","31076","17164","2957093","","","220109","37877236","28/03/2021","1968","%4,2","29058"
"1325","3240577","154","31230","18015","2975108","","","225511","38102747","29/03/2021","1998","%3,6","32404"
"1376","3277880","155","31385","19925","2995033","","","235298","38338045","30/03/2021","2054","%3,6","37303"
"1401","3317182","152","31537","19193","3014226","","","240012","38578057","31/03/2021","2082","%3,6","39302"
"1424","3357988","176","31713","20817","3035043","","","243738","38821795","01/04/2021","2135","%3,6","40806"
"1471","3400296","179","31892","24419","3059462","","","248968","39070763","02/04/2021","2182","%3,6","42308"
"1483","3445052","186","32078","23214","3082676","","","249126","39319889","03/04/2021","2231","%3,6","44756"
"1508","3487050","185","32263","22674","3105350","","","246210","39566099","04/04/2021","2311","%3,6","41998"
"1706","3529601","193","32456","25627","3130977","","","245496","39811595","05/04/2021","2407","%3,1","42551"
"2003","3579185","211","32667","28498","3159475","","","271547","40083142","06/04/2021","2477","%3,1","49584"
"2203","3633925","276","32943","35503","3194978","","","302108","40385250","07/04/2021","2604","%3,1","54740"
"2316","3689866","258","33201","37914","3232892","","","304492","40689742","08/04/2021","2615","%3,1","55941"
"2408","3745657","253","33454","35786","3268678","","","305103","40994845","09/04/2021","2658","%3,1","55791"
"2497","3798333","248","33702","32539","3301217","","","302735","41297580","10/04/2021","2739","%3,1","52676"
"2548","3849011","237","33939","30194","3331411","","","294274","41591854","11/04/2021","2824","%3,1","50678"
"2671","3903573","243","34182","41218","3372629","","","301068","41892922","12/04/2021","2891","%3,3","54562"
"2723","3962760","273","34455","52104","3424733","","","306563","42199485","13/04/2021","2951","%3,3","59187"
"2802","4025557","279","34734","55413","3480146","","","310420","42509905","14/04/2021","3018","%3,3","62797"
"2845","4086957","297","35031","54894","3535040","","","318217","42828122","15/04/2021","3080","%3,3","61400"
"2915","4150039","289","35320","56510","3591550","","","320078","43148200","16/04/2021","3205","%3,3","63082"
"2973","4212645","288","35608","52184","3643734","","","319316","43467516","17/04/2021","3240","%3,3","62606"
"3101","4268447","318","35926","43856","3687590","","","301243","43768759","18/04/2021","3275","%3,3","55802"
"2862","4323596","341","36267","48947","3736537","","","318869","44087628","19/04/2021","3319","%2,9","55149"
"2895","4384624","346","36613","55592","3792129","","","322128","44409756","20/04/2021","3375","%2,9","61028"
"2932","4446591","362","36975","52213","3844342","","","318839","44728595","21/04/2021","3398","%2,9","61967"
"3128","4501382","354","37329","65593","3909935","","","312109","45040704","22/04/2021","3463","%2,9","54791"
"3089","4550820","343","37672","60176","3970111","","","302091","45342795","23/04/2021","3475","%2,9","49438"
"2905","4591416","339","38011","52297","4022408","","","281183","45623978","24/04/2021","3511","%2,9","40596"
"2801","4629969","347","38358","51236","4073644","","","260280","45884258","25/04/2021","3590","%2,9","38553"
"2716","4667281","353","38711","48027","4121671","","","268893","46153151","26/04/2021","3563","%2,4","37312"
"2703","4710582","346","39057","45592","4167263","","","282192","46435343","27/04/2021","3549","%2,4","43301"
"2728","4751026","341","39398","45198","4212461","","","283261","46718604","28/04/2021","3558","%2,4","40444"
"2715","4788700","339","39737","43253","4255714","","","278108","46996712","29/04/2021","3581","%2,4","37674"
"2673","4820591","394","40131","68183","4323897","","","265287","47261999","30/04/2021","3534","%2,4","31891"
"2615","4849408","373","40504","81302","4405199","","","242194","47504193","01/05/2021","3525","%2,4","28817"
"2587","4875388","340","40844","75182","4480381","","","240145","47744338","02/05/2021","3532","%2,4","25980"
"2501","4900121","347","41191","35438","4515819","","","243648","47987986","03/05/2021","3438","%3,2","24733"
"2483","4929118","336","41527","38218","4554037","","","241747","48229733","04/05/2021","3452","%3,2","28997"
"2414","4955594","356","41883","35464","4589501","","","229491","48459224","05/05/2021","3418","%3,2","26476"
"2401","4977982","304","42187","37298","4626799","","","253382","48712606","06/05/2021","3378","%3,2","22388"
"2210","4998089","278","42465","35529","4662328","","","251194","48963800","07/05/2021","3260","%3,2","20107"
"2178","5016141","281","42746","28896","4691224","","","228873","49192673","08/05/2021","3175","%3,2","18052"
"2102","5031332","283","43029","25694","4716918","","","197468","49390141","09/05/2021","3081","%3,2","15191"
"1734","5044936","282","43311","26953","4743871","","","213863","49604004","10/05/2021","2983","%4,0","13604"
"1582","5059433","278","43589","22253","4766124","","","226452","49830456","11/05/2021","2975","%4,0","14497"
"1496","5072462","232","43821","35167","4801291","","","228192","50058648","12/05/2021","2827","%4,0","13029"
"1217","5083996","238","44059","55472","4856763","","","201295","50259943","13/05/2021","2765","%4,0","11534"
"1102","5095390","242","44301","37261","4894024","","","203073","50463016","14/05/2021","2670","%4,0","11394"
"1084","5106862","236","44537","38814","4932838","","","204637","50667653","15/05/2021","2563","%4,0","11472"
"920","5117374","223","44760","14418","4947256","","","202243","50869896","16/05/2021","2468","%4,0","10512"
"923","5127548","223","44983","13864","4961120","","","206836","51076732","17/05/2021","2326","%3,2","10174"
"916","5139485","203","45186","10125","4971245","","","217276","51294008","18/05/2021","2232","%3,2","11937"
"902","5151038","233","45419","9271","4980516","","","218683","51512691","19/05/2021","2162","%3,2","11553"
"856","5160423","207","45626","9271","4989787","","","219192","51731883","20/05/2021","2041","%3,2","9385"
"846","5169951","214","45840","8852","4998639","","","218846","51950729","21/05/2021","1977","%3,2","9528"
"835","5178648","231","46071","14472","5013111","","","216658","52167387","22/05/2021","1876","%3,2","8697"
"710","5186487","197","46268","11202","5024313","","","210291","52377678","23/05/2021","1843","%3,2","7839"
"702","5194010","178","46446","10003","5034316","","","216655","52594333","24/05/2021","1745","%3,1","7523"
"693","5203385","175","46621","11192","5045508","","","223104","52817437","25/05/2021","1667","%3,1","9375"
"681","5212123","166","46787","12205","5057713","","","221214","53038651","26/05/2021","1561","%3,1","8738"
"673","5220549","183","46970","13102","5070815","","","219465","53258116","27/05/2021","1504","%3,1","8426"
"656","5228322","164","47134","12284","5083099","","","220162","53478278","28/05/2021","1454","%3,1","7773"
"605","5235978","137","47271","11180","5094279","","","222613","53700891","29/05/2021","1391","%3,1","7656"
"582","5242911","134","47405","10763","5105042","","","218957","53919848","30/05/2021","1390","%3,1","6933"
"596","5249404","122","47527","9582","5114624","","","219461","54139309","31/05/2021","1339","%2,8","6493"
"602","5256516","129","47656","9457","5124081","","","223482","54362791","01/06/2021","1241","%2,8","7112"
"586","5263697","112","47768","7372","5131453","","","224150","54586941","02/06/2021","1213","%2,8","7181"
"563","5270299","114","47882","8540","5139993","","","222847","54809788","03/06/2021","1219","%2,8","6602"
"552","5276468","94","47976","7617","5147610","","","224681","55034469","04/06/2021","1183","%2,8","6169"
"542","5282594","92","48068","7161","5154771","","","216156","55250625","05/06/2021","1147","%2,8","6126"
"482","5287980","96","48164","6003","5160774","","","204827","55455452","06/06/2021","1096","%2,8","5386"
"495","5293627","91","48255","6576","5167350","","","218164","55673616","07/06/2021","1060","%2,7","5647"
"557","5300236","86","48341","5836","5173186","","","225527","55899143","08/06/2021","1044","%2,7","6609"
"558","5306690","87","48428","6647","5179833","","","224193","56123336","09/06/2021","1018","%2,7","6454"
"563","5313098","96","48524","6895","5186728","","","223320","56346656","10/06/2021","1009","%2,7","6408"
"561","5319359","69","48593","6217","5192945","","","224128","56570784","11/06/2021","997","%2,7","6261"
"503","5325435","75","48668","5112","5198057","","","218758","56789542","12/06/2021","973","%2,7","6076"
"454","5330447","53","48721","4194","5202251","","","214957","57004499","13/06/2021","952","%2,7","5012"
"428","5336073","74","48795","4585","5206836","","","219290","57223789","14/06/2021","929","%3,4","5626"
"532","5342028","84","48879","4186","5211022","","","223846","57447635","15/06/2021","886","%3,4","5955"
"548","5348249","71","48950","4632","5215654","","","227163","57674798","16/06/2021","881","%3,4","6221"
"509","5354153","62","49012","4143","5219797","","","225064","57899862","17/06/2021","860","%3,4","5904"
"497","5359728","59","49071","4427","5224224","","","224128","58123990","18/06/2021","856","%3,4","5575"
"494","5365208","51","49122","4195","5228419","","","215496","58339486","19/06/2021","829","%3,4","5480"
"409","5370299","63","49185","4219","5232638","","","213297","58552783","20/06/2021","813","%3,4","5091"
"429","5375593","51","49236","5093","5237731","","","221052","58773835","21/06/2021","808","%2,9","5294"
"565","5381736","57","49293","5214","5242945","","","223238","58997073","22/06/2021","791","%2,9","6143"
"550","5387545","65","49358","5917","5248862","","","224192","59221265","23/06/2021","763","%2,9","5809"
"498","5393248","59","49417","5846","5254708","","","223385","59444650","24/06/2021","752","%2,9","5703"
"477","5398878","56","49473","7184","5261892","","","222936","59667586","25/06/2021","737","%2,9","5630"
"470","5404144","51","49524","7402","5269294","","","222561","59890147","26/06/2021","733","%2,9","5266"
"390","5409027","52","49576","5937","5275231","","","215294","60105441","27/06/2021","736","%2,9","4883"
"431","5414310","58","49634","5327","5280558","","","223525","60328966","28/06/2021","751","%2,9","5283"
"510","5420156","53","49687","6536","5287094","","","229846","60558812","29/06/2021","730","%3,7","5846"
"522","5425652","45","49732","7191","5294285","","","228163","60786975","30/06/2021","727","%3,7","5496"
"462","5430940","42","49774","6219","5300504","","","225537","61012512","01/07/2021","706","%3,7","5288"
"461","5435831","55","49829","5352","5305856","","","223782","61236294","02/07/2021","697","%3,7","4891"
"478","5440368","45","49874","4913","5310769","","","218924","61455218","03/07/2021","702","%3,7","4537"
"404","","50","","4161","","","","216252","","04/07/2021","","%","4418"
"","","35","","4735","","","","219737","","05/07/2021","","%","4678"
"","","37","","4446","","","","226651","","06/07/2021","","%","5299"
"","","52","","4636","","","","225253","","07/07/2021","","%","5160"
"","","48","","5012","","","","226427","","08/07/2021","","%","5171"
"","","59","","5126","","","","228826","","09/07/2021","","%","5670"
"","","37","","5217","","","","224184","","10/07/2021","","%","5530"
"","","37","","5242","","","","222068","","11/07/2021","","%","5261"
"","","49","","5506","","","","227273","","12/07/2021","","%","5404"
"","","46","","5162","","","","234439","","13/07/2021","","%","6285"
"","","43","","5063","","","","238867","","14/07/2021","","%","6907"
"","","48","","5103","","","","232257","","15/07/2021","","%","7304"
"","","35","","5084","","","","229582","","16/07/2021","","%","6918"
"","","38","","5490","","","","234161","","17/07/2021","","%","7666"
"","","66","","5835","","","","233946","","18/07/2021","","%","7680"
"","","50","","4152","","","","226513","","19/07/2021","","%","7667"
"","","46","","4561","","","","198537","","20/07/2021","","%","8780"
"","","59","","4946","","","","184462","","21/07/2021","","%","8151"
"","","52","","5093","","","","214196","","22/07/2021","","%","9586"
"","","60","","5215","","","","219528","","23/07/2021","","%","11094"
"","","58","","5383","","","","221463","","24/07/2021","","%","12381"
"","","55","","5211","","","","223837","","25/07/2021","","%","14230"
"","","63","","5585","","","","224198","","26/07/2021","","%","16809"
"","","51","","7108","","","","246648","","27/07/2021","","%","19761"
"","","76","","4197","","","","257474","","28/07/2021","","%","22291"
"","","60","","5463","","","","261198","","29/07/2021","","%","22161"
"","","69","","5752","","","","256460","","30/07/2021","","%","22083"
"","","79","","5107","","","","259196","","31/07/2021","","%","22332"
"","","96","","5539","","","","251224","","01/08/2021","","%","20890"
